1|41|F|47210
2|29|F|41600
3|19|F|47210
4|46|F|47207
5|46|M|47210
6|41|M|5200
7|10|M|29035
8|44|M|17009
9|15|M|41019
10|11|M|29009
11|37|M|28013
12|40|F|5200
13|11|F|41600
14|21|F|28013
15|41|M|28013
16|23|M|29009
17|36|F|41600
18|10|F|29009
19|49|M|28013
20|49|M|47210
21|34|M|28013
22|29|F|28015
23|30|F|41600
24|36|M|28015
25|25|F|29013
26|31|M|5223
27|25|M|28015
28|42|M|28015
29|16|M|28015
30|25|M|28013
31|43|F|17009
32|21|M|28013
33|26|M|28013
34|42|F|17009
35|21|F|47207
36|20|M|47210
37|22|F|28015
38|10|F|5200
39|23|M|41600
40|15|M|29035
41|42|M|28015
42|33|M|28015
43|28|M|29013
44|27|F|5223
45|36|F|5200
46|19|F|5223
47|13|M|5200
48|33|F|47210
49|26|M|28015
50|43|M|28013
51|17|M|28013
52|49|M|5200
53|48|F|5200
54|45|F|47207
55|36|F|47210
56|39|M|47207
57|44|F|41020
58|12|M|28015
59|27|M|47207
60|42|M|5200
61|29|M|41019
62|36|F|47210
63|14|M|47210
64|37|F|28013
65|29|M|5200
66|42|M|41020
67|15|F|5200
68|31|F|47210
69|17|F|29013
70|47|F|28015
71|18|F|29035
72|49|M|5223
73|11|F|41600
74|20|M|47210
75|19|M|41020
76|40|M|5200
77|33|F|29013
78|26|M|41600
79|15|F|41600
80|14|M|17009
81|29|M|5200
82|40|M|28015
83|26|F|5200
84|25|F|41020
85|22|F|28013
86|21|F|28015
87|43|F|17009
88|13|F|41600
89|36|M|28015
90|33|F|41600
91|25|F|28015
92|44|F|29035
93|25|M|29013
94|34|M|29013
95|16|F|47210
96|36|F|47210
97|43|F|5223
98|13|M|41020
99|16|M|29013
100|28|F|41020
